date,pf_close,gd_close
2016-05-12,14.96,3.48
2016-05-13,14.82,3.47
2016-05-16,14.86,3.48
2016-05-17,14.83,3.45
2016-05-18,15.09,3.45
2016-05-19,14.91,3.44
2016-05-20,15.0,3.46
2016-05-23,15.09,3.47
2016-05-24,15.09,3.46
2016-05-25,15.19,3.48
2016-05-26,15.21,3.48
2016-05-27,15.25,3.48
2016-05-30,15.43,3.53
2016-05-31,15.72,3.64
2016-06-01,15.72,3.63
2016-06-02,15.49,3.61
2016-06-03,15.48,3.65
2016-06-06,15.49,3.63
2016-06-07,15.49,3.63
2016-06-08,15.46,3.63
2016-06-13,15.28,3.56
2016-06-14,15.29,3.58
2016-06-15,15.25,3.59
2016-06-16,15.3,3.56
2016-06-17,15.27,3.57
2016-06-20,15.34,3.55
2016-06-21,15.28,3.57
2016-06-22,15.38,3.6
2016-06-23,15.31,3.6
2016-06-24,14.88,3.57
2016-06-27,14.91,3.62
2016-06-28,14.88,3.64
2016-06-29,15.09,3.67
2016-06-30,15.16,3.69
2016-07-01,15.5,3.74
2016-07-04,15.51,3.75
2016-07-05,15.37,3.73
2016-07-06,15.23,3.74
2016-07-07,15.16,3.77
2016-07-08,15.04,3.75
2016-07-11,15.02,3.77
2016-07-12,15.23,3.83
2016-07-13,15.37,3.87
2016-07-14,15.29,3.87
2016-07-15,15.3,3.94
2016-07-18,15.35,3.99
2016-07-19,15.32,3.94
2016-07-20,15.34,3.93
2016-07-21,15.41,3.92
2016-07-22,15.22,3.94
2016-07-25,15.28,4.0
2016-07-26,15.33,4.04
2016-07-27,15.45,4.0
2016-07-28,15.27,3.94
2016-07-29,15.29,3.96
2016-08-01,15.38,3.98
2016-08-02,15.34,3.96
2016-08-03,15.26,3.94
2016-08-04,15.18,3.94
2016-08-05,15.32,3.96
2016-08-08,15.33,3.96
2016-08-09,15.37,3.98
2016-08-10,15.41,3.99
2016-08-11,15.65,4.03
2016-08-12,15.93,4.18
2016-08-15,16.49,4.33
2016-08-16,16.26,4.25
2016-08-17,16.2,4.17
2016-08-18,16.01,4.16
2016-08-19,15.99,4.17
2016-08-22,15.98,4.15
2016-08-23,15.97,4.14
2016-08-24,15.96,4.14
2016-08-25,15.91,4.11
2016-08-26,15.91,4.08
2016-08-29,15.91,4.02
2016-08-30,16.08,4.04
2016-08-31,16.15,4.05
2016-09-01,16.09,4.05
2016-09-02,16.15,4.05
2016-09-05,16.16,4.05
2016-09-06,16.09,4.02
2016-09-07,16.15,4.02
2016-09-08,16.27,4.01
2016-09-09,16.23,3.97
2016-09-12,16.08,3.88
2016-09-13,16.13,3.9
2016-09-14,16.08,3.84
2016-09-19,16.14,3.89
2016-09-20,16.14,3.88
2016-09-21,16.13,3.89
2016-09-22,16.2,3.9
2016-09-23,16.15,3.91
2016-09-26,16.15,3.84
2016-09-27,16.15,3.89
2016-09-28,16.15,3.86
2016-09-29,16.17,3.9
2016-09-30,16.16,3.91
2016-10-10,16.22,3.94
2016-10-11,16.24,3.92
2016-10-12,16.18,3.89
2016-10-13,16.11,3.9
2016-10-14,16.14,3.89
2016-10-17,15.95,3.86
2016-10-18,16.02,3.9
2016-10-19,15.95,3.92
2016-10-20,15.97,3.92
2016-10-21,15.97,3.94
2016-10-24,16.14,4.0
2016-10-25,16.1,3.99
2016-10-26,16.0,3.94
2016-10-27,15.87,3.92
2016-10-28,15.97,3.94
2016-10-31,15.95,3.93
2016-11-01,15.98,3.99
2016-11-02,15.88,3.94
2016-11-03,16.03,3.96
2016-11-04,16.08,3.97
2016-11-07,16.1,3.99
2016-11-08,16.14,4.0
2016-11-09,16.13,3.98
2016-11-10,16.24,4.02
2016-11-11,16.26,4.03
2016-11-14,16.27,4.05
2016-11-15,16.26,4.03
2016-11-16,16.27,4.01
2016-11-17,16.27,4.01
2016-11-18,16.27,3.98
2016-11-21,16.31,4.03
2016-11-22,16.35,4.1
2016-11-23,16.6,4.16
2016-11-24,16.56,4.19
2016-11-25,16.75,4.27
2016-11-28,16.87,4.28
2016-11-29,16.92,4.29
2016-11-30,16.82,4.22
2016-12-01,16.81,4.24
2016-12-02,16.76,4.21
2016-12-05,16.96,4.18
2016-12-06,16.88,4.15
2016-12-07,16.73,4.14
2016-12-08,16.8,4.17
2016-12-09,17.0,4.32
2016-12-12,17.14,4.31
2016-12-13,16.83,4.26
2016-12-14,16.84,4.28
2016-12-15,16.37,4.1
2016-12-16,16.33,4.07
2016-12-19,16.19,4.06
2016-12-20,15.96,4.02
2016-12-21,16.0,4.05
2016-12-22,15.87,4.02
2016-12-23,15.87,4.01
2016-12-26,15.93,4.02
2016-12-27,15.82,4.0
2016-12-28,15.77,4.0
2016-12-29,15.75,4.01
2016-12-30,15.89,4.03
